origin_doi,origin_sub-area,target_doi,target_sub-area
10.1007/978-3-031-47721-8_54,,10.1109/icmla.2016.0052,
10.1007/978-3-031-47721-8_54,,10.3390/en13123110,
10.1007/978-3-031-47721-8_54,,10.3390/en12173310,
10.1007/978-3-031-47721-8_54,,10.1109/tpwrs.2017.2721435,
10.1007/978-3-031-47721-8_54,,10.3390/en15062218,
10.1007/978-3-031-47721-8_54,,10.1109/tsg.2018.2807925,
10.1007/978-3-031-47721-8_54,,10.1109/tnnls.2018.2890663,
10.1007/978-3-031-47721-8_54,,10.1109/4235.996017,
10.1007/978-3-031-47721-8_54,,10.1109/tpwrs.2022.3162391,
10.1007/978-3-031-47721-8_54,,10.5121/ijaia.2013.4602,
10.1007/978-3-031-47721-8_54,,10.1109/access.2022.3150016,
10.1007/978-3-031-47721-8_54,,10.3390/en13215758,
10.1007/978-3-031-47721-8_54,,10.1109/tpwrs.2022.3150050,
10.1016/j.compeleceng.2018.11.012,,10.1007/s40141-014-0055-0,
10.1016/j.compeleceng.2018.11.012,,10.1016/j.neunet.2014.10.001,
10.1016/j.compeleceng.2018.11.012,,10.1080/11038120410020511,
10.1016/j.compeleceng.2018.11.012,,10.1142/s0129065717500095,
10.1016/j.compeleceng.2018.11.012,,10.1161/strokeaha.114.004311,
10.1016/j.compeleceng.2018.11.012,,10.12720/ijeee.2.2.106-110,
10.1016/j.compeleceng.2018.11.012,,10.1016/j.eswa.2012.02.192,
10.1016/j.compeleceng.2018.11.012,,10.1016/j.annemergmed.2010.03.026,
10.1016/j.compeleceng.2018.11.012,,10.1016/s1672-6529(16)60377-3,
10.1016/j.compeleceng.2018.11.012,,10.1016/s1350-4533(99)00066-1,
10.1016/j.compeleceng.2018.11.012,,10.1016/j.bspc.2007.07.009,
10.1016/j.compeleceng.2018.11.012,,10.1007/s10462-012-9356-9,
10.1016/j.compeleceng.2018.11.012,,10.1016/j.jstrokecerebrovasdis.2014.06.010,
10.1016/j.compeleceng.2018.11.012,,10.1191/0269215506cr957oa,
10.1016/j.bspc.2020.101990,,10.1016/j.compeleceng.2018.11.012,
10.1007/978-981-13-9097-5_6,,10.1016/j.compeleceng.2018.11.012,
10.1007/978-981-13-9097-5_5,,10.1016/j.compeleceng.2018.11.012,
10.1109/jsen.2021.3070597,,10.1016/j.compeleceng.2018.11.012,
10.1007/978-3-030-51064-0_19,,10.1016/j.compeleceng.2018.11.012,
10.3390/s20030809,,10.1016/j.compeleceng.2018.11.012,
10.3390/s19235214,,10.1016/j.compeleceng.2018.11.012,
10.1016/j.compeleceng.2022.108067,,10.1016/j.compeleceng.2018.11.012,
10.1002/cjce.24246,,10.1016/j.compeleceng.2018.11.012,
10.3390/s22052028,,10.1016/j.compeleceng.2018.11.012,
10.3390/ma13245815,,10.1016/j.compeleceng.2018.11.012,
10.1109/dese54285.2021.9719427,,10.1016/j.compeleceng.2018.11.012,
10.1007/s42979-020-00232-w,,10.1016/j.compeleceng.2018.11.012,
10.1007/s42600-022-00215-1,,10.1016/j.compeleceng.2018.11.012,
10.1007/s42600-020-00100-9,,10.1016/j.compeleceng.2018.11.012,
10.1007/s42600-020-00079-3,,10.1016/j.compeleceng.2018.11.012,
10.3389/fnbot.2020.00011,,10.1016/j.compeleceng.2018.11.012,
10.1101/2020.06.23.20138651,,10.1016/j.compeleceng.2018.11.012,
10.1109/jsen.2021.3100038,,10.1016/j.compeleceng.2018.11.012,
10.1016/j.neucom.2018.10.063,ai,10.1109/tsmcb.2011.2168604,
10.1016/j.neucom.2018.10.063,ai,10.1016/j.neunet.2014.10.001,
10.1016/j.neucom.2018.10.063,ai,10.1109/ijcnn.2017.7966217,
10.1016/j.neucom.2018.10.063,ai,10.1155/2016/3049632,
10.1016/j.neucom.2018.10.063,ai,10.1364/josaa.2.001160,
10.1016/j.neucom.2018.10.063,ai,10.1007/s11045-016-0414-3,
10.1016/j.neucom.2018.10.063,ai,10.1109/tnnls.2014.2335212,
10.1016/j.neucom.2018.10.063,ai,10.1109/tip.2015.2475625,
10.1016/j.neucom.2018.10.063,ai,10.1109/robomech.2017.8261132,
10.1016/j.neucom.2018.10.063,ai,10.1016/j.neucom.2006.02.013,
10.1016/j.neucom.2018.10.063,ai,10.1007/s00521-015-2170-y,
10.1016/j.neucom.2018.10.063,ai,10.1109/tmi.2016.2528162,
10.1016/j.neucom.2018.10.063,ai,10.1152/jn.1987.58.6.1233,
10.1016/j.neucom.2018.10.063,ai,10.1109/tnn.2006.875977,
10.1016/j.neucom.2018.10.063,ai,10.1109/mci.2015.2405316,
10.1007/978-981-13-9097-5_6,,10.1016/j.neucom.2018.10.063,ai
10.1007/978-981-13-9097-5_5,,10.1016/j.neucom.2018.10.063,ai
10.1109/tensymp54529.2022.9864466,,10.1016/j.neucom.2018.10.063,ai
10.1016/j.neucom.2022.02.003,,10.1016/j.neucom.2018.10.063,ai
10.1109/ijcnn55064.2022.9891906,,10.1016/j.neucom.2018.10.063,ai
10.3390/electronics10111266,,10.1016/j.neucom.2018.10.063,ai
10.1007/s00521-019-04457-6,,10.1016/j.neucom.2018.10.063,ai
10.3390/en15072347,,10.1016/j.neucom.2018.10.063,ai
10.1007/978-981-16-2102-4_37,,10.1016/j.neucom.2018.10.063,ai
10.1109/acts49415.2020.9350491,,10.1016/j.neucom.2018.10.063,ai
10.1007/s10115-023-01978-4,,10.1016/j.neucom.2018.10.063,ai
10.1007/s11042-020-09295-6,,10.1016/j.neucom.2018.10.063,ai
10.1038/s41598-022-05921-5,,10.1016/j.neucom.2018.10.063,ai
10.1080/13682199.2023.2223011,,10.1016/j.neucom.2018.10.063,ai
10.3233/idt-230382,,10.1016/j.neucom.2018.10.063,ai
10.3390/app9153169,,10.1016/j.neucom.2018.10.063,ai
10.1109/icip46576.2022.9898050,,10.1016/j.neucom.2018.10.063,ai
10.1007/s42979-020-00232-w,,10.1016/j.neucom.2018.10.063,ai
10.3390/bdcc6040146,,10.1016/j.neucom.2018.10.063,ai
10.1007/s42600-020-00079-3,,10.1016/j.neucom.2018.10.063,ai
10.1007/s13735-023-00291-8,,10.1016/j.neucom.2018.10.063,ai
10.3390/informatics8020033,,10.1016/j.neucom.2018.10.063,ai
10.1007/s11227-022-04936-z,,10.1016/j.neucom.2018.10.063,ai
10.1007/978-981-99-4484-2_18,,10.1016/j.neucom.2018.10.063,ai
10.3390/a15040129,,10.1016/j.neucom.2018.10.063,ai
10.1016/j.micpro.2018.09.008,,10.1109/tcad.2005.852657,
10.1016/j.micpro.2018.09.008,,10.1145/2442087.2442095,
